,country,year,happiness_rank,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,dystopia_residual
0,Finland,2019,1,7.769,1.34,1.587,0.986,0.596,0.393,0.153,0.0
1,Denmark,2019,2,7.6,1.383,1.573,0.996,0.592,0.41,0.252,0.0
2,Norway,2019,3,7.554,1.488,1.582,1.028,0.603,0.341,0.271,0.0
3,Iceland,2019,4,7.494,1.38,1.624,1.026,0.591,0.118,0.354,0.0
4,Netherlands,2019,5,7.488,1.396,1.522,0.999,0.557,0.298,0.322,0.0
5,Switzerland,2019,6,7.48,1.452,1.526,1.052,0.572,0.343,0.263,0.0
6,Sweden,2019,7,7.343,1.387,1.487,1.009,0.574,0.373,0.267,0.0
7,New Zealand,2019,8,7.307,1.303,1.557,1.026,0.585,0.38,0.33,0.0
8,Canada,2019,9,7.278,1.365,1.505,1.039,0.584,0.308,0.285,0.0
9,Austria,2019,10,7.246,1.376,1.475,1.016,0.532,0.226,0.244,0.0
10,Australia,2019,11,7.228,1.372,1.548,1.036,0.557,0.29,0.332,0.0
11,Costa Rica,2019,12,7.167,1.034,1.441,0.963,0.558,0.093,0.144,0.0
12,Israel,2019,13,7.139,1.276,1.455,1.029,0.371,0.082,0.261,0.0
13,Luxembourg,2019,14,7.09,1.609,1.479,1.012,0.526,0.316,0.194,0.0
14,United Kingdom,2019,15,7.054,1.333,1.538,0.996,0.45,0.278,0.348,0.0
15,Ireland,2019,16,7.021,1.499,1.553,0.999,0.516,0.31,0.298,0.0
16,Germany,2019,17,6.985,1.373,1.454,0.987,0.495,0.265,0.261,0.0
17,Belgium,2019,18,6.923,1.356,1.504,0.986,0.473,0.21,0.16,0.0
18,United States,2019,19,6.892,1.433,1.457,0.874,0.454,0.128,0.28,0.0
19,Czech Republic,2019,20,6.852,1.269,1.487,0.92,0.457,0.036,0.046,0.0
20,United Arab Emirates,2019,21,6.825,1.503,1.31,0.825,0.598,0.182,0.262,0.0
21,Malta,2019,22,6.726,1.3,1.52,0.999,0.564,0.151,0.375,0.0
22,Mexico,2019,23,6.595,1.07,1.323,0.861,0.433,0.073,0.074,0.0
23,France,2019,24,6.592,1.324,1.472,1.045,0.436,0.183,0.111,0.0
24,Taiwan,2019,25,6.446,1.368,1.43,0.914,0.351,0.097,0.242,0.0
25,Chile,2019,26,6.444,1.159,1.369,0.92,0.357,0.056,0.187,0.0
26,Guatemala,2019,27,6.436,0.8,1.269,0.746,0.535,0.078,0.175,0.0
27,Saudi Arabia,2019,28,6.375,1.403,1.357,0.795,0.439,0.132,0.08,0.0
28,Qatar,2019,29,6.374,1.684,1.313,0.871,0.555,0.167,0.22,0.0
29,Spain,2019,30,6.354,1.286,1.484,1.062,0.362,0.079,0.153,0.0
30,Panama,2019,31,6.321,1.149,1.442,0.91,0.516,0.054,0.109,0.0
31,Brazil,2019,32,6.3,1.004,1.439,0.802,0.39,0.086,0.099,0.0
